Gen|Top1|Length1|Fitness1|Top2|Length2|Fitness2|Top3|Length3|Fitness3|Top4|Length4|Fitness4|Top5|Length5|Fitness5|Top6|Length6|Fitness6|Top7|Length7|Fitness7|Top8|Length8|Fitness8|Top9|Length9|Fitness9|Top10|Length10|Fitness10
-1|-287.50094121934196*x0**6 - 3.7306768785327904e-11*x0**5 - 5.9128264021102162e-8*x0**4 + 2.5625248450955596e-13*x0**3 + 1.4363645297851054e-10*x0**2 - 2.480230524777615e-15*x0 + 17.869999999999947|10|4.671506711337709e-05|
11|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(sqrt(X0), add(log(log(sqrt(log(log(sqrt(X0)))))), -0.089))|12|0.27245935794239773|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
12|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(add(add(-0.998, 0.194), cos(-0.366)), sin(sqrt(X0)))|10|0.2925640474682114|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
13|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|add(log(log(log(mul(X0, -0.107)))), div(cos(-0.540), log(X0)))|12|0.24146429221371404|sub(add(add(-0.998, 0.194), cos(-0.366)), sin(sqrt(X0)))|10|0.2925640474682114|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|
14|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(X0))), add(exp(log(X0)), log(log(sqrt(X0)))))|13|0.2752232318278066|add(log(log(sqrt(X0))), mul(sub(cos(X0), sqrt(X0)), -0.146))|12|0.2997030041246936|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
15|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
16|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
17|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
18|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(log(log(sqrt(X0))), exp(log(sqrt(sin(X0)))))|10|0.23125016213044608|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
19|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(sqrt(sqrt(X0)), log(log(sqrt(X0))))|8|0.21999827376516568|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
20|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
21|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(log(log(sqrt(X0))), log(sqrt(sqrt(log(sqrt(X0))))))|11|0.2752393385129009|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
22|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
23|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
24|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|add(mul(mul(-0.925, -0.027), add(-0.933, X0)), log(log(sqrt(X0))))|12|0.3096875301444343|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
25|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|add(mul(mul(-0.925, -0.027), add(-0.933, X0)), log(log(sqrt(X0))))|12|0.3096875301444343|add(log(log(sqrt(X0))), mul(mul(-0.925, -0.027), add(-0.933, X0)))|12|0.3096875301444343|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
26|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|sub(div(-0.074, log(X0)), exp(log(X0)))|8|0.2936792447689725|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
27|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|sub(mul(log(log(sqrt(X0))), exp(log(X0))), exp(log(X0)))|12|0.21426266271538577|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
28|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|mul(log(log(sqrt(X0))), exp(log(log(log(sqrt(X0))))))|11|0.23027072384920022|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|div(sin(sin(-0.170)), log(div(-0.702, X0)))|8|0.30295752701395595|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
29|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|sub(log(log(sqrt(div(sqrt(X0), log(X0))))), log(log(sqrt(X0))))|13|0.18690570838774823|log(log(sqrt(div(sin(sin(-0.170)), log(div(-0.702, X0))))))|11|0.28136983093581774|log(log(sqrt(div(sin(sin(-0.170)), log(div(-0.702, X0))))))|11|0.28136983093581774|mul(exp(log(X0)), log(log(sqrt(exp(log(X0))))))|10|0.2927713392363885|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|add(sub(log(log(sqrt(X0))), log(log(sqrt(X0)))), log(log(sqrt(X0))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|
30|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sqrt(log(cos(X0))))|9|0.37514792950154296|sub(log(log(sqrt(X0))), sqrt(log(cos(X0))))|9|0.37514792950154296|div(log(sqrt(0.186)), add(sub(0.288, -0.921), sub(X0, -0.769)))|11|0.4157018402076894|sub(log(log(sqrt(X0))), exp(log(X0)))|8|0.4188243435013958|sub(log(log(sqrt(X0))), log(log(sqrt(X0))))|9|0.4235269852782443|
31|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
32|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(sqrt(mul(-0.403, X0)), log(log(sqrt(X0))))|9|0.29147050167800637|mul(exp(log(X0)), log(log(sqrt(X0))))|8|0.2927713392363885|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
33|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
34|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(sqrt(log(exp(X0))), log(log(sqrt(X0))))|9|0.22910581102824013|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
35|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
36|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(log(log(sqrt(X0))), exp(log(X0)))|8|0.2927713392363885|sub(log(sub(div(X0, X0), log(0.897))), exp(log(X0)))|11|0.29799687265929764|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|
37|mul(exp(log(X0)), log(log(sqrt(log(log(sqrt(X0)))))))|11|0.11915829679752682|mul(log(log(sqrt(X0))), exp(log(log(log(sqrt(X0))))))|11|0.23027072384920022|sub(log(log(sqrt(X0))), add(exp(log(X0)), log(log(sqrt(X0)))))|13|0.2752232318278066|log(log(sqrt(X0)))|4|0.31137058043523375|sub(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|log(log(sqrt(X0)))|4|0.31137058043523375|add(log(log(sqrt(X0))), sub(log(log(sqrt(X0))), log(log(sqrt(X0)))))|14|0.31137058043523375|
