Gen|Top1|Length1|Fitness1|Top2|Length2|Fitness2|Top3|Length3|Fitness3|Top4|Length4|Fitness4|Top5|Length5|Fitness5|Top6|Length6|Fitness6|Top7|Length7|Fitness7|Top8|Length8|Fitness8|Top9|Length9|Fitness9|Top10|Length10|Fitness10
-1|0.14984409424371187*x0**6 - 0.21136285501903145*x0**5 + 0.26008821429742252*x0**4 - 0.15142877424053219*x0**3 - 0.12463030204329633*x0**2 - 0.022746467035329596*x0 + 0.40215246083593681|10|718.4375046936635|
11|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(div(0.299, exp(X0)), exp(sub(-0.865, X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|add(exp(sub(-0.865, X0)), div(0.299, exp(X0)))|9|0.03622854488707603|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
12|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|add(exp(sub(-0.865, X0)), div(div(0.066, X0), X0))|10|0.021158212069865175|div(sqrt(sub(X0, 0.553)), exp(mul(X0, X0)))|9|0.021540853827194607|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|div(0.700, mul(add(X0, X0), add(X0, div(div(0.066, X0), X0))))|13|0.03908098586671371|add(exp(sub(-0.865, X0)), exp(sub(-0.865, X0)))|9|0.05574981904552767|
13|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|mul(add(sin(0.011), div(0.218, X0)), cos(add(-0.886, X0)))|11|0.0206746188226338|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
14|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
15|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
16|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
17|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
18|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
19|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
20|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|div(exp(-0.478), exp(X0))|5|0.025050586557449652|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
